bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
BANK OF TOKYO AND MITSUBISHI,2020-02-01,2020,2,February,69411,24811.69,9736,22292.611,79147,47104.301,0.35746048897148863,2.2897094289235826,-2519.078999999998
BARCLAYS BANK,2020-02-01,2020,2,February,62632,21116.87,11377,28545.299,74009,49662.168999999994,0.337157842636352,2.509035686033225,7428.429
BASSEIN CATHOLIC CO-OP BANK,2020-02-01,2020,2,February,39748,3000.4,77793,4054.233,117541,7054.633,0.07548555902183758,0.052115653079325905,1053.833
BHAGINI NIVEDITA SAHAKARI BANK,2020-02-01,2020,2,February,3534,100.38,6458,163.539,9992,263.919,0.028404074702886247,0.02532347475998761,63.15899999999999
BHARAT CO-OP BANK,2020-02-01,2020,2,February,90558,6070.49,187558,9380.367,278116,15450.857,0.06703427637536165,0.05001315326459015,3309.8770000000004
CANARA BANK,2020-02-01,2020,2,February,3389456,299866.61,7263595,460237.651,10653051,760104.2609999999,0.08847042416246147,0.0633622401854729,160371.04100000003
CAPITAL SMALL FINANCE BANK,2020-02-01,2020,2,February,40391,2334.18,52029,3755.876,92420,6090.0560000000005,0.0577896065955287,0.07218812585288974,1421.6960000000004
CATHOLIC SYRIAN BANK,2020-02-01,2020,2,February,174782,10242.58,208802,9828.617,383584,20071.197,0.05860202995731826,0.04707146962193849,-413.96299999999974
CENTRAL BANK OF INDIA,2020-02-01,2020,2,February,2087784,163410.5,6611702,233209.788,8699486,396620.288,0.07826983059550222,0.03527227754668919,69799.288
CITI BANK,2020-02-01,2020,2,February,7615441,1102850.25,2983101,798647.503,10598542,1901497.753,0.14481764746125667,0.2677239231926777,-304202.747
CITIZEN CREDIT CO-OP BANK,2020-02-01,2020,2,February,12557,728.25,31127,1447.805,43684,2176.0550000000003,0.05799554033606753,0.04651283451665757,719.5550000000001
CITY UNION BANK,2020-02-01,2020,2,February,1118559,57005.03,786989,50656.985,1905548,107662.015,0.05096291746792078,0.06436809790225785,-6348.044999999998
CORP BANK,2020-02-01,2020,2,February,2941416,106070.28,2980107,169891.608,5921523,275961.88800000004,0.036060958395548265,0.05700855975976702,63821.32800000001
COSMOS CO-OP BANK,2020-02-01,2020,2,February,126265,14052.92,222897,15844.455,349162,29897.375,0.11129703401576051,0.07108420032571097,1791.5349999999999
CREDIT AGRICOLE CORP AND INVESTMENT BANK,2020-02-01,2020,2,February,11585,14613.65,924,20975.321,12509,35588.971,1.2614285714285713,22.700563852813854,6361.671
CREDIT SUISSE AG,2020-02-01,2020,2,February,60,6.77,30,2428.844,90,2435.614,0.11283333333333333,80.96146666666667,2422.074
CTBC BANK CO-OP,2020-02-01,2020,2,February,1518,371.89,623,3382.823,2141,3754.7129999999997,0.24498682476943345,5.429892455858748,3010.933
DCB BANK,2020-02-01,2020,2,February,295923,20419.17,415423,27612.468,711346,48031.638,0.06900163218134446,0.06646831783507413,7193.2980000000025
DELHI STATE CO-OP OP BANK,2020-02-01,2020,2,February,2126,207.05,8192,467.433,10318,674.483,0.09738946378174977,0.0570596923828125,260.383
DENA BANK,2020-02-01,2020,2,February,527160,37473.91,1829026,63835.641,2356186,101309.551,0.07108640640412779,0.034901439892051835,26361.731
DEOGIRI NAGARI SAHAKARI BANK,2020-02-01,2020,2,February,5319,604.93,14113,586.799,19432,1191.7289999999998,0.11373002444068434,0.04157861546092255,-18.130999999999972
DEUTSCHE BANK,2020-02-01,2020,2,February,2263521,376178.81,433478,248480.567,2696999,624659.377,0.166191879819096,0.573225324007216,-127698.24299999999
DEVELOPMENT BANK OF SINGAPORE,2020-02-01,2020,2,February,525540,95322.18,204167,58956.423,729707,154278.603,0.18137949537618447,0.288765682015213,-36365.75699999999
DHANLAXMI BANK,2020-02-01,2020,2,February,156725,6426.47,180475,8930.842,337200,15357.312000000002,0.041004753549210404,0.04948520293669484,2504.3720000000003
DICGC BANK,2020-02-01,2020,2,February,118,85.24,9,0.221,127,85.461,0.7223728813559321,0.024555555555555556,-85.01899999999999
DMK JAOLI BANK,2020-02-01,2020,2,February,3934,471.84,12882,407.326,16816,879.1659999999999,0.11993899339095068,0.031619779537338924,-64.51399999999995
DOHA BANK QSC,2020-02-01,2020,2,February,27386,3111.46,1666,484.37,29052,3595.83,0.11361498575914701,0.2907382953181272,-2627.09
DOMBIVLI NAGRIK SAHAKARI BANK,2020-02-01,2020,2,February,23491,1827.58,67280,2683.675,90771,4511.255,0.07779915712400494,0.03988815398335315,856.0950000000003
DURGAPUR STEEL PEOPLES CO-OP BANK,2020-02-01,2020,2,February,1904,191.04,8023,344.757,9927,535.797,0.1003361344537815,0.042971083135984044,153.717
EMIRATES NBD BANK PJSC,2020-02-01,2020,2,February,3788,1042.03,224,1856.055,4012,2898.085,0.2750871172122492,8.285959821428571,814.0250000000001
EQUITAS SMALL FINANCE BANK,2020-02-01,2020,2,February,257321,13048.36,80862,5616.878,338183,18665.238,0.05070849250546983,0.06946251638594148,-7431.482000000001
ESAF SMALL FINANCE BANK,2020-02-01,2020,2,February,34068,1185.57,43202,1964.383,77270,3149.953,0.03480010567101092,0.0454697236239063,778.8130000000001
EXPORT IMPORT BANK OF INDIA,2020-02-01,2020,2,February,0,0.0,141,1594.641,141,1594.641,0.0,11.309510638297873,1594.641
FEDERAL BANK,2020-02-01,2020,2,February,2466050,160907.63,2189605,125647.866,4655655,286555.496,0.06524913525678717,0.05738380484151251,-35259.76400000001
FINCARE SMALL FINANCE BANK,2020-02-01,2020,2,February,10031,1894.59,16027,1053.32,26058,2947.91,0.18887349217425978,0.06572159480876022,-841.27
FINO PAYMENTS BANK,2020-02-01,2020,2,February,499954,10636.33,151444,4711.788,651398,15348.117999999999,0.02127461726478836,0.03111241118829402,-5924.542
FIRSTRAND BANK,2020-02-01,2020,2,February,96,353.22,33,4594.15,129,4947.37,3.6793750000000003,139.21666666666667,4240.929999999999
GOPINATH PATIL PARSIK JAN SAHA BANK,2020-02-01,2020,2,February,36342,2930.81,92552,3989.903,128894,6920.713,0.0806452589290628,0.04310985175901115,1059.0929999999998
GREATER BOMBAY CO-OP BANK,2020-02-01,2020,2,February,8817,371.38,38002,1069.48,46819,1440.8600000000001,0.042120902801406374,0.02814272933003526,698.1
HDFC BANK,2020-02-01,2020,2,February,32727916,2880946.07,18894647,2627445.043,51622563,5508391.113,0.08802717747136725,0.13905764119329672,-253501.02699999977
HIMACHAL PRADESH STATE CO-OP,2020-02-01,2020,2,February,63236,1378.81,84754,2630.822,147990,4009.632,0.021804193813650452,0.03104068244566628,1252.0120000000002
HSBC BANK,2020-02-01,2020,2,February,2188416,532623.31,921460,383023.031,3109876,915646.341,0.24338302681025914,0.41566973173008054,-149600.27900000004
ICICI BANK,2020-02-01,2020,2,February,20823155,1328644.72,15250108,1526753.64,36073263,2855398.36,0.0638061196778298,0.10011428378080994,198108.91999999993
IDBI BANK,2020-02-01,2020,2,February,7426129,395222.48,4520235,389527.0,11946364,784749.48,0.053220524448201745,0.08617405953451535,-5695.479999999981
IDFC BANK,2020-02-01,2020,2,February,979584,82550.2,641092,89039.944,1620676,171590.144,0.08427066999869331,0.13888793496097285,6489.744000000006
IDUKKI DIST CO-OP BANK,2020-02-01,2020,2,February,5737,595.09,4266,308.508,10003,903.598,0.10372842949276626,0.07231786216596343,-286.58200000000005
INDIA POST PAYMENTS BANK,2020-02-01,2020,2,February,290539,7046.72,129142,2355.117,419681,9401.837,0.024253955579113303,0.01823664648216692,-4691.603
INDIAN BANK,2020-02-01,2020,2,February,1391074,100125.6,4798762,197237.174,6189836,297362.774,0.07197719172380478,0.04110167872463773,97111.574
INDIAN OVERSEAS BANK,2020-02-01,2020,2,February,1725600,109890.65,3869706,181473.43,5595306,291364.07999999996,0.06368257417709781,0.04689592180904699,71582.78
INDUSIND BANK,2020-02-01,2020,2,February,3920504,297618.62,2017957,284850.716,5938461,582469.336,0.07591335705817415,0.1411579711559761,-12767.90399999998
INDUSTRIAL AND CO-OP BANK OF CHINA,2020-02-01,2020,2,February,771,1806.04,131,1142.344,902,2948.384,2.3424643320363163,8.72018320610687,-663.6959999999999
INDUSTRIAL BANK OF KOREA,2020-02-01,2020,2,February,1871,576.24,266,1298.242,2137,1874.482,0.3079850347407803,4.880609022556391,722.002
IRINJALAKUDA TOWN CO-OP BANK,2020-02-01,2020,2,February,1331,52.68,895,68.433,2226,121.113,0.039579263711495116,0.0764614525139665,15.753000000000007
JALGAON JANATA SAHKARI BANK,2020-02-01,2020,2,February,12663,591.14,19988,1617.679,32651,2208.819,0.046682460712311455,0.08093250950570342,1026.5390000000002
JALGAON PEOPLES CO-OP BANK,2020-02-01,2020,2,February,6841,1038.49,28024,1180.977,34865,2219.467,0.15180382984943722,0.04214162860405367,142.48700000000008
